"","baseMean","log2FoldChange","lfcSE","pvalue","padj","rownames"
"Misin17G002200.1",524.331809146937,-1.25277946615562,0.441976798328861,3.1198997393207e-05,0.00464322095182052,"Misin17G002200.1"
"Misin17G008400.1",24.3621118853942,2.92032352989393,1.02125450659537,2.08385855349903e-05,0.00338156263764338,"Misin17G008400.1"
"Misin17G012500.1",56.1267502141759,2.30724726669233,2.9763390894174,0.00051952545953661,0.0408604877847224,"Misin17G012500.1"
"Misin17G020700.1",29.8037150987323,2.05686446521156,0.524570199044118,1.93705609957612e-06,0.000480916577717342,"Misin17G020700.1"
"Misin17G034300.1",123.135049422972,1.75515457666487,1.04503733779223,0.000202495348859463,0.0204679867163294,"Misin17G034300.1"
"Misin17G114900.1",61.4985713350798,-2.32109868426119,0.971620160721695,5.29342792760863e-05,0.00712958573999788,"Misin17G114900.1"
"Misin17G118100.1",5663.12332124693,4.89122546378375,1.47306870193882,4.91160026820365e-06,0.00102962048423919,"Misin17G118100.1"
"Misin17G122200.1",700.548075488403,1.14036511133713,0.947268292065846,0.000655139156451532,0.0483501671970223,"Misin17G122200.1"
"Misin17G123500.1",261.291978907631,-2.78000739497734,1.24257354087031,5.81212396400165e-05,0.00763727264781924,"Misin17G123500.1"
"Misin17G151300.1",515.549363710507,-1.26440493694215,0.366504244225578,7.72306105004267e-06,0.00149669033838507,"Misin17G151300.1"
"Misin17G168000.1",66.4056359138998,-2.46684765230495,0.960209253298809,3.81132922101648e-05,0.00549025031503376,"Misin17G168000.1"
"Misin17G171800.1",482.892775036573,-0.872909173782025,0.610093376891674,0.000553756598965345,0.0428029221940573,"Misin17G171800.1"
"Misin17G179400.1",236.648384262117,-0.741141207894205,0.477650607507924,0.000549175199899883,0.0425097900784572,"Misin17G179400.1"
"Misin17G189900.1",251.037115498391,-6.05802858587609,1.7645880110778,3.05463133431129e-06,0.000706301558523694,"Misin17G189900.1"
"Misin17G195600.1",607.996818109464,-1.09472780141378,0.308334040641564,8.38047130213414e-06,0.00161249246929456,"Misin17G195600.1"
"Misin17G203600.1",72.367916451318,4.61014269135456,1.55718804154813,1.00935447558484e-05,0.0018816253415963,"Misin17G203600.1"
"Misin17G208700.1",369.890554915911,1.24894003222024,0.558219125258227,9.40836666701389e-05,0.0112140653580835,"Misin17G208700.1"
