"","baseMean","log2FoldChange","lfcSE","pvalue","padj","rownames"
"Misin15G054100.1",976.764794694,-0.578585165667169,0.272819378001542,0.000347016655933401,0.0269776657119942,"Misin15G054100.1"
"Misin15G067300.1",312.397462700084,-1.00008778539889,0.723802698475372,0.000422357483004948,0.0311705608176597,"Misin15G067300.1"
"Misin15G076500.1",248.196803565684,2.69791572827442,1.91456050803372,0.000239454598685314,0.0205751459396671,"Misin15G076500.1"
"Misin15G088700.1",1686.68025623684,-1.61616313741776,1.37671252946329,0.000522610365010353,0.0363298495676552,"Misin15G088700.1"
"Misin15G128300.1",6.77807678383163,-3.26080102504177,3.0844823929956,0.000242952175268858,0.0207062122000644,"Misin15G128300.1"
"Misin15G132400.1",7.7983312907856,2.58320977155454,2.77582445141584,0.000458001866773169,0.0329918161705241,"Misin15G132400.1"
"Misin15G135500.1",2457.71253975748,-0.782971352008243,0.380721092332312,0.000119476050358694,0.0117674080677781,"Misin15G135500.1"
"Misin15G138700.1",122.508140353612,-3.69198687963666,0.543200637832536,1.02506870785429e-12,1.31489468180119e-09,"Misin15G138700.1"
"Misin15G147800.1",57.9086523648466,-1.58234338001095,0.620899444827543,2.68392642074379e-05,0.00363307879189878,"Misin15G147800.1"
"Misin15G148800.1",53.2359214122274,-3.42902723271244,0.535910687326562,1.28504969975756e-11,1.21459741358664e-08,"Misin15G148800.1"
"Misin15G149100.1",105.515199425859,-0.954820056676008,0.846283817669667,0.000811773105604186,0.0493058354728585,"Misin15G149100.1"
"Misin15G152300.1",80.213419454991,3.35627318488071,0.50383555718362,2.16571548050358e-12,2.59284270026956e-09,"Misin15G152300.1"
"Misin15G155700.1",20.6987375709812,-8.03364409334393,1.54912733914847,3.19120216219417e-09,1.6531347739251e-06,"Misin15G155700.1"
"Misin15G157100.1",27.3359705917412,-4.15966207146777,2.73711903048979,0.000104656908820012,0.010638473514487,"Misin15G157100.1"
"Misin15G157200.1",32.5297249437496,-7.18319335561268,1.76081966126936,4.87491229071336e-07,0.000137505706629415,"Misin15G157200.1"
"Misin15G159000.1",105.012823679842,5.21579858787146,0.858497700777157,1.79682724540204e-10,1.25719568631214e-07,"Misin15G159000.1"
"Misin15G160100.1",116.067002288113,1.49264612958467,1.28521868127895,0.000562412182132951,0.0380652717492623,"Misin15G160100.1"
"Misin15G165300.1",99.2996802846665,-5.42329726802271,0.676911519080917,1.97643120125515e-16,4.84001049852823e-13,"Misin15G165300.1"
"Misin15G165600.1",54.8804932255224,5.61144748664268,1.86588332215996,8.84541581309682e-06,0.00149387704366957,"Misin15G165600.1"
"Misin15G185000.1",408.547685140234,1.59264500403194,0.817232214192984,0.000101003607629521,0.0104045303270372,"Misin15G185000.1"
"Misin15G196600.1",31.1999327792108,-7.78803080456942,1.51322034511383,5.18001834589914e-09,2.56030723289281e-06,"Misin15G196600.1"
