"","baseMean","log2FoldChange","lfcSE","pvalue","padj","rownames"
"Misin17G013700.1",329.872890907357,4.51733144211392,0.739106805134383,4.13073891829976e-10,5.2948562498206e-07,"Misin17G013700.1"
"Misin17G016500.1",73.9293667556124,22.0161503829477,4.10356504058811,1.62895748616232e-10,2.35572313383473e-07,"Misin17G016500.1"
"Misin17G114900.1",61.4985713350798,-2.98242563706057,1.09530950454776,1.18724518875707e-05,0.00465004365596519,"Misin17G114900.1"
"Misin17G150500.1",34.2629306986297,3.15975927807983,2.05613456531027,6.05478253504464e-05,0.0169895390535581,"Misin17G150500.1"
"Misin17G168000.1",66.4056359138998,-2.72270481326107,0.630136818375592,1.16873518500005e-06,0.000616043592841149,"Misin17G168000.1"
"Misin17G216100.1",629.938375247716,3.21105817548144,0.504734111932016,1.30866764189014e-10,1.9423382895422e-07,"Misin17G216100.1"
"Misin17G223700.1",44.1867423283344,2.1988304008665,1.4719884014583,6.54941391164904e-05,0.0182864824067825,"Misin17G223700.1"
"Misin17G227600.1",200.01599724131,-4.19958174516601,0.659801124510617,9.36194846816762e-11,1.46670526001293e-07,"Misin17G227600.1"
"MisinT500200.1",16.8649193484394,-2.43561473354076,2.71805457996639,0.000195459236206115,0.0455533095951442,"MisinT500200.1"
"MisinT344300.1",126.617457684787,-7.83419558406575,1.0146872817115,5.88456520547496e-16,2.76574564657323e-12,"MisinT344300.1"
"MisinT025500.1",361.951480649219,-2.63103847088498,0.291864505984093,1.49581053371821e-19,1.68727428203414e-15,"MisinT025500.1"
"Misin16G075500.1",133.071398413224,1.89028030452231,1.77747590861658,0.000156793090280822,0.0384483925732103,"Misin16G075500.1"
"Misin16G146300.1",22.7212395135428,7.12353871503666,1.77347120497799,6.08693228613567e-07,0.0003333038649884,"Misin16G146300.1"
"Misin16G204900.1",143.575865042603,2.81862911143378,0.367148063430224,1.18204664574407e-14,4.76195934428324e-11,"Misin16G204900.1"
"MisinT173100.1",178.427050111687,1.17439941519628,0.868569605826518,5.85328129327454e-05,0.016697798023546,"MisinT173100.1"
"MisinT242400.1",21.7937608976421,1.47348994104918,1.62008361849908,0.000223561708184079,0.0498374717058579,"MisinT242400.1"
"MisinT551300.1",657.568030533825,-0.20729351418787,0.339602964611424,0.000163633720232959,0.0399521290958394,"MisinT551300.1"
"Misin08G022200.1",11.3074581204237,6.64485396681014,1.84158449167935,1.52986683704305e-06,0.000766498672449792,"Misin08G022200.1"
"Misin08G030600.1",615.516999043211,-3.20695025758466,0.456788874075672,1.45889178528688e-12,3.42839569542417e-09,"Misin08G030600.1"
"Misin08G103500.1",1965.83501918235,0.280088855207935,0.437471643198435,0.000186807410407658,0.0442686468361004,"Misin08G103500.1"
"Misin08G143900.1",63.8417378932103,-3.93075285686576,1.65719867080953,1.7614041956034e-05,0.00624799978817808,"Misin08G143900.1"
