"","TF","MEMBERS"
"21","Misin01G026700.1","'"""
"22","Misin01G027000.1","'Misin05G234800.1"", 'Misin05G269900.1"", 'Misin05G303400.1"", 'Misin16G106500.1"", 'Misin08G015100.1"", 'Misin08G312300.1"", 'Misin01G000100.1"", 'Misin01G074900.1"", 'Misin01G156200.1"", 'Misin01G261800.1"", 'Misin01G287600.1"", 'MisinT135800.1"", 'Misin06G074800.1"", 'Misin06G318400.1"", 'Misin06G377000.1"", 'Misin02G013300.1"", 'Misin02G098700.1"", 'Misin02G179400.1"", 'Misin11G005300.1"", 'Misin11G082700.1"", 'Misin11G260100.1"", 'Misin15G167800.1"", 'Misin03G288800.1"", 'Misin18G189900.1"", 'Misin12G107900.1"", 'Misin12G181200.1"", 'Misin04G274200.1"", 'Misin04G313800.1"", 'Misin07G156200.1"", 'Misin07G354900.1"", 'Misin07G469800.1"""
"23","Misin01G029200.1","'"""
"24","Misin01G029300.1","'Misin02G247300.1"""
"25","Misin01G030000.1","'Misin17G266600.1"", 'Misin08G098100.1"", 'Misin06G334300.1"", 'Misin02G277200.1"", 'Misin14G049200.1"", 'Misin14G135900.1"", 'Misin11G059600.1"", 'Misin11G088500.1"", 'Misin11G188200.1"", 'Misin12G006900.1"", 'Misin12G233900.1"", 'Misin04G079400.1"", 'Misin04G129000.1"", 'Misin07G013700.1"", 'Misin07G355700.1"""
"26","Misin01G031400.1","'"""
"27","Misin01G031700.1","'MisinT008300.1"", 'MisinT151700.1"", 'Misin05G211400.1"", 'Misin05G245800.1"", 'Misin05G287400.1"", 'Misin05G315700.1"", 'MisinT128900.1"", 'Misin10G016400.1"", 'Misin10G025400.1"", 'Misin10G048000.1"", 'Misin10G049100.1"", 'Misin10G071100.1"", 'Misin10G078300.1"", 'Misin17G089600.1"", 'Misin17G168000.1"", 'Misin17G209300.1"", 'Misin17G232100.1"", 'Misin16G023500.1"", 'MisinT088000.1"", 'Misin08G139400.1"", 'Misin08G191600.1"", 'Misin08G302000.1"", 'Misin01G016200.1"", 'Misin01G072900.1"", 'Misin01G098500.1"", 'Misin01G105800.1"", 'Misin01G336200.1"", 'Misin01G371500.1"", 'Misin01G372800.1"", 'Misin01G393400.1"", 'Misin01G457200.1"", 'Misin01G496400.1"", 'Misin01G500500.1"", 'Misin06G031900.1"", 'Misin06G058900.1"", 'Misin06G082600.1"", 'Misin06G120200.1"", 'Misin06G303000.1"", 'Misin02G102200.1"", 'Misin02G159700.1"", 'Misin02G192600.1"", 'Misin02G288800.1"", 'Misin02G360600.1"", 'Misin02G410800.1"", 'Misin14G104500.1"", 'Misin14G115600.1"", 'Misin09G078500.1"", 'Misin09G121800.1"", 'Misin09G143600.1"", 'Misin09G187300.1"", 'Misin11G004300.1"", 'Misin11G091000.1"", 'Misin19G042100.1"", 'Misin19G201900.1"", 'Misin03G357000.1"", 'Misin18G105300.1"", 'Misin18G267100.1"", 'Misin12G042400.1"", 'Misin04G047200.1"", 'MisinT530900.1"", 'Misin07G224100.1"", 'Misin07G357100.1"""
"28","Misin01G032100.1","'Misin05G096600.1"", 'Misin10G017700.1"", 'Misin10G083700.1"", 'Misin17G134100.1"", 'Misin17G169800.1"", 'Misin16G021300.1"", 'Misin16G033600.1"", 'Misin16G109500.1"", 'Misin08G093400.1"", 'Misin08G215100.1"", 'Misin01G387500.1"", 'Misin01G421800.1"", 'Misin01G456300.1"", 'Misin06G077100.1"", 'Misin06G204000.1"", 'Misin06G275100.1"", 'Misin06G300800.1"", 'Misin06G337300.1"", 'Misin02G018500.1"", 'Misin02G296200.1"", 'Misin02G336200.1"", 'Misin02G363300.1"", 'Misin14G079900.1"", 'Misin14G141500.1"", 'Misin11G014100.1"", 'Misin11G142700.1"", 'Misin15G009000.1"", 'Misin15G094100.1"", 'Misin19G185100.1"", 'Misin03G161200.1"", 'Misin03G191900.1"", 'Misin03G196900.1"", 'Misin03G357400.1"", 'Misin18G176900.1"", 'Misin18G182400.1"", 'Misin12G142200.1"", 'Misin12G152500.1"", 'Misin12G209300.1"", 'Misin04G214000.1"", 'Misin04G370700.1"", 'Misin13G027200.1"", 'Misin13G144300.1"", 'Misin13G151600.1"", 'Misin13G174300.1"", 'Misin13G178400.1"", 'Misin07G143200.1"", 'Misin07G170800.1"", 'Misin07G359300.1"", 'Misin07G399600.1"", 'Misin07G476600.1"""
"29","Misin01G033600.1","'MisinT543300.1"", 'Misin05G177500.1"", 'Misin05G254500.1"", 'Misin05G348400.1"", 'Misin05G384200.1"", 'Misin05G393200.1"", 'Misin17G040900.1"", 'Misin17G070500.1"", 'Misin17G185700.1"", 'MisinT546300.1"", 'Misin16G029000.1"", 'Misin08G053100.1"", 'Misin08G243700.1"", 'Misin06G185000.1"", 'Misin06G351600.1"", 'Misin06G374200.1"", 'Misin02G342700.1"", 'Misin02G399600.1"", 'Misin02G403000.1"", 'Misin02G418000.1"", 'Misin02G478900.1"", 'Misin09G079800.1"", 'Misin09G126900.1"", 'Misin11G154300.1"", 'Misin11G202800.1"", 'Misin11G234700.1"", 'MisinT054900.1"", 'Misin15G098000.1"", 'Misin19G137300.1"", 'Misin03G219300.1"", 'Misin18G029200.1"", 'Misin12G124900.1"", 'Misin04G088000.1"", 'Misin04G182100.1"", 'Misin04G293500.1"", 'Misin04G366100.1"", 'Misin13G083400.1"", 'Misin07G436800.1"", 'Misin07G438600.1"", 'Misin07G503000.1"""
"30","Misin01G034100.1","'MisinT544600.1"", 'Misin05G045200.1"", 'Misin05G174200.1"", 'Misin05G237700.1"", 'Misin05G359300.1"", 'Misin10G025000.1"", 'Misin10G117200.1"", 'Misin17G113100.1"", 'Misin17G175600.1"", 'Misin16G121900.1"", 'Misin08G193800.1"", 'Misin08G283300.1"", 'Misin08G301100.1"", 'Misin01G034200.1"", 'Misin01G512900.1"", 'Misin06G053100.1"", 'Misin14G126800.1"", 'MisinT342700.1"", 'Misin11G007200.1"", 'MisinT057700.1"", 'Misin03G159200.1"", 'Misin12G117800.1"", 'Misin12G246400.1"", 'MisinT002600.1"", 'Misin04G212100.1"", 'Misin04G213000.1"", 'Misin04G331100.1"", 'Misin13G129300.1"", 'Misin13G188400.1"", 'MisinT367200.1"""
"31","Misin01G034200.1","'MisinT545200.1"", 'Misin05G072500.1"", 'Misin05G177600.1"", 'Misin05G210600.1"", 'Misin05G218900.1"", 'Misin05G224600.1"", 'Misin05G385300.1"", 'Misin10G025000.1"", 'Misin10G117200.1"", 'Misin10G162700.1"", 'Misin17G117000.1"", 'Misin17G175600.1"", 'Misin17G198200.1"", 'Misin16G129100.1"", 'Misin08G253700.1"", 'Misin08G297000.1"", 'Misin01G034100.1"", 'Misin01G106700.1"", 'Misin01G158900.1"", 'Misin01G355900.1"", 'Misin01G370100.1"", 'Misin01G516700.1"", 'Misin06G061700.1"", 'Misin06G076700.1"", 'Misin06G116700.1"", 'Misin06G171500.1"", 'Misin02G181700.1"", 'Misin02G259500.1"", 'Misin02G292100.1"", 'Misin02G314800.1"", 'Misin02G495000.1"", 'Misin02G509400.1"", 'Misin14G076300.1"", 'Misin14G128300.1"", 'Misin11G047600.1"", 'Misin11G161300.1"", 'Misin11G161400.1"", 'Misin11G248700.1"", 'MisinT297200.1"", 'MisinT378900.1"", 'Misin19G002700.1"", 'Misin19G232900.1"", 'MisinT127100.1"", 'Misin03G007000.1"", 'Misin03G235900.1"", 'Misin03G241400.1"", 'Misin18G000500.1"", 'Misin18G036800.1"", 'Misin18G202100.1"", 'Misin12G158100.1"", 'Misin12G246400.1"", 'Misin04G060000.1"", 'Misin04G112900.1"", 'Misin04G114000.1"", 'Misin04G213000.1"", 'Misin04G250500.1"", 'Misin04G302500.1"", 'Misin13G008200.1"", 'Misin13G088600.1"", 'MisinT367200.1"", 'MisinT122600.1"", 'Misin07G068200.1"", 'Misin07G149200.1"", 'Misin07G285400.1"", 'Misin07G490800.1"", 'Misin07G553600.1"""
"32","Misin01G036800.1","'Misin02G112300.1"", 'Misin15G055600.1"", 'Misin03G345700.1"", 'Misin18G158200.1"""
"33","Misin01G037100.1","'Misin09G105700.1"", 'Misin03G154400.1"", 'Misin18G159100.1"""
