"","TF","MEMBERS"
"1956","Misin06G269000.1","'Misin05G075200.1"", 'Misin05G077700.1"", 'Misin05G147600.1"", 'Misin05G365700.1"", 'Misin10G104000.1"", 'Misin17G018000.1"", 'Misin17G029900.1"", 'Misin16G119300.1"", 'Misin16G134000.1"", 'Misin08G071900.1"", 'Misin08G270100.1"", 'Misin01G044400.1"", 'Misin01G078300.1"", 'Misin01G271600.1"", 'Misin01G396200.1"", 'Misin01G480600.1"", 'Misin06G266800.1"", 'Misin06G313000.1"", 'Misin09G167500.1"", 'MisinT084900.1"", 'Misin19G161100.1"", 'Misin03G067000.1"", 'Misin03G094100.1"", 'Misin03G134700.1"", 'Misin03G137200.1"", 'Misin03G358200.1"", 'Misin18G014900.1"", 'Misin18G181500.1"", 'Misin18G263200.1"", 'MisinT356300.1"", 'Misin12G051200.1"", 'Misin12G189300.1"", 'Misin12G208900.1"", 'Misin04G076200.1"", 'Misin13G175100.1"", 'Misin07G421100.1"", 'Misin07G481100.1"", 'Misin07G526900.1"""
"1957","Misin06G269600.1","'Misin05G269600.1"", 'Misin05G403900.1"", 'MisinT158200.1"", 'Misin16G260600.1"", 'Misin01G113000.1"", 'Misin01G257600.1"", 'Misin02G149400.1"", 'Misin09G128400.1"", 'Misin15G038300.1"", 'Misin19G019000.1"", 'Misin03G231700.1"", 'Misin03G259900.1"", 'Misin07G372600.1"""
"1958","Misin06G269900.1","'Misin05G063200.1"", 'Misin05G401100.1"", 'Misin10G065500.1"", 'Misin10G143500.1"", 'Misin16G132700.1"", 'Misin16G255100.1"", 'Misin08G308400.1"", 'Misin14G143700.1"", 'Misin09G069400.1"", 'Misin09G094600.1"", 'Misin09G187400.1"", 'Misin11G124800.1"", 'Misin19G148700.1"", 'Misin19G188600.1"", 'Misin03G006900.1"", 'Misin03G344800.1"", 'Misin18G051000.1"", 'Misin12G000500.1"", 'Misin04G112400.1"""
"1959","Misin06G270200.1","'"""
"1960","Misin06G270900.1","'Misin05G183600.1"", 'Misin05G279700.1"", 'Misin01G123800.1"", 'Misin01G144300.1"", 'Misin01G327500.1"", 'Misin01G389300.1"", 'Misin06G042200.1"", 'Misin06G338600.1"", 'Misin02G298700.1"", 'MisinT054300.1"", 'Misin12G173500.1"""
"1961","Misin06G286900.1","'Misin05G032600.1"", 'Misin05G042200.1"", 'Misin05G052900.1"", 'Misin05G136900.1"", 'Misin05G210600.1"", 'Misin05G242000.1"", 'Misin05G261500.1"", 'Misin05G284400.1"", 'Misin05G288800.1"", 'Misin05G304900.1"", 'MisinT482000.1"", 'MisinT082300.1"", 'Misin10G094900.1"", 'Misin17G012000.1"", 'Misin17G077000.1"", 'Misin17G131100.1"", 'Misin17G186400.1"", 'MisinT500500.1"", 'Misin16G049200.1"", 'Misin16G063900.1"", 'Misin16G093200.1"", 'Misin16G208600.1"", 'Misin08G013500.1"", 'Misin08G061900.1"", 'Misin08G119500.1"", 'Misin08G216200.1"", 'Misin08G232300.1"", 'Misin08G257000.1"", 'Misin01G022000.1"", 'Misin01G062900.1"", 'Misin01G135600.1"", 'Misin01G210100.1"", 'Misin01G306400.1"", 'Misin01G354600.1"", 'Misin06G091400.1"", 'Misin06G092300.1"", 'Misin06G120500.1"", 'Misin02G000600.1"", 'Misin02G003600.1"", 'Misin02G017700.1"", 'Misin02G021100.1"", 'Misin02G104000.1"", 'Misin02G108000.1"", 'Misin02G124000.1"", 'Misin02G160400.1"", 'Misin02G176400.1"", 'Misin02G204400.1"", 'Misin02G261600.1"", 'Misin02G319400.1"", 'Misin02G336700.1"", 'Misin02G368900.1"", 'Misin02G380900.1"", 'Misin02G424500.1"", 'Misin02G426500.1"", 'Misin02G439600.1"", 'Misin02G467600.1"", 'Misin02G487100.1"", 'MisinT304400.1"", 'Misin14G019800.1"", 'Misin14G084600.1"", 'Misin14G107600.1"", 'Misin14G152800.1"", 'Misin09G085400.1"", 'Misin09G111800.1"", 'Misin09G137200.1"", 'Misin09G144600.1"", 'Misin09G157700.1"", 'Misin09G169600.1"", 'Misin11G039300.1"", 'Misin11G246900.1"", 'MisinT571500.1"", 'Misin15G019000.1"", 'Misin19G096100.1"", 'Misin19G200200.1"", 'Misin19G269500.1"", 'Misin03G099100.1"", 'Misin03G101700.1"", 'Misin03G134000.1"", 'Misin03G151200.1"", 'Misin03G248700.1"", 'Misin03G274800.1"", 'MisinT527100.1"", 'Misin18G046800.1"", 'Misin18G146400.1"", 'Misin12G063800.1"", 'Misin12G099300.1"", 'Misin12G137700.1"", 'Misin12G169800.1"", 'Misin12G183900.1"", 'Misin12G229200.1"", 'Misin12G268500.1"", 'Misin04G111600.1"", 'Misin04G112900.1"", 'Misin04G115800.1"", 'Misin04G213200.1"", 'Misin13G086500.1"", 'Misin13G154000.1"", 'Misin13G161000.1"", 'Misin07G002500.1"", 'Misin07G003000.1"", 'Misin07G026200.1"", 'Misin07G133200.1"", 'Misin07G159100.1"", 'Misin07G162300.1"", 'Misin07G214100.1"", 'Misin07G420500.1"", 'Misin07G459200.1"", 'Misin07G469600.1"", 'Misin07G487800.1"", 'Misin07G490400.1"", 'Misin07G538600.1"", 'MisinT359300.1"""
"1962","Misin06G287100.1","'MisinT325400.1"", 'Misin05G089900.1"", 'Misin05G248400.1"", 'Misin05G298900.1"", 'Misin05G332500.1"", 'Misin17G081000.1"", 'Misin17G161100.1"", 'Misin16G007000.1"", 'Misin16G032200.1"", 'Misin16G142400.1"", 'Misin16G188400.1"", 'Misin16G211200.1"", 'Misin16G226200.1"", 'Misin08G259400.1"", 'Misin01G083300.1"", 'Misin01G396900.1"", 'Misin01G441800.1"", 'Misin01G508500.1"", 'Misin01G510200.1"", 'Misin06G068800.1"", 'Misin06G092500.1"", 'Misin02G012200.1"", 'Misin02G091400.1"", 'Misin02G200000.1"", 'Misin02G348600.1"", 'Misin02G459600.1"", 'Misin02G469800.1"", 'Misin09G005500.1"", 'Misin09G006800.1"", 'Misin11G075300.1"", 'Misin11G123700.1"", 'Misin15G018700.1"", 'Misin19G084000.1"", 'Misin19G096800.1"", 'Misin03G327900.1"", 'Misin18G193700.1"", 'Misin18G205700.1"", 'MisinT544900.1"", 'Misin12G252500.1"", 'Misin04G291900.1"", 'Misin13G010200.1"", 'Misin13G055700.1"", 'MisinT530800.1"", 'Misin07G212100.1"", 'Misin07G367900.1"", 'Misin07G438900.1"", 'Misin07G457900.1"""
"1963","Misin06G288300.1","'Misin05G257000.1"", 'Misin05G259900.1"", 'Misin05G305100.1"", 'Misin10G112800.1"", 'Misin10G128500.1"", 'Misin17G020100.1"", 'Misin17G058600.1"", 'Misin17G127100.1"", 'Misin17G172800.1"", 'Misin17G191500.1"", 'Misin16G034300.1"", 'Misin16G165100.1"", 'Misin16G256600.1"", 'Misin08G021100.1"", 'Misin08G264100.1"", 'Misin01G146600.1"", 'Misin01G216100.1"", 'Misin01G428500.1"", 'Misin01G488900.1"", 'Misin02G028000.1"", 'Misin02G335600.1"", 'Misin02G362700.1"", 'Misin02G379300.1"", 'Misin02G400700.1"", 'Misin02G405100.1"", 'Misin02G425700.1"", 'Misin02G441500.1"", 'Misin02G454600.1"", 'Misin09G135600.1"", 'Misin11G166200.1"", 'Misin11G170900.1"", 'Misin11G190100.1"", 'Misin11G253800.1"", 'Misin11G270700.1"", 'Misin15G026400.1"", 'Misin19G105700.1"", 'Misin19G115200.1"", 'Misin19G209800.1"", 'Misin03G040900.1"", 'Misin03G085000.1"", 'Misin03G165200.1"", 'Misin03G214600.1"", 'Misin18G057100.1"", 'Misin12G018000.1"", 'Misin12G151500.1"", 'Misin04G259000.1"", 'Misin04G298200.1"", 'Misin13G192300.1"", 'Misin07G067100.1"", 'Misin07G395000.1"", 'Misin07G396400.1"", 'Misin07G436400.1"", 'Misin07G436500.1"""
"1964","Misin06G288400.1","'Misin05G036200.1"", 'Misin05G056300.1"", 'Misin05G302100.1"", 'Misin05G316900.1"", 'Misin05G336000.1"", 'Misin10G171500.1"", 'Misin17G107700.1"", 'Misin17G139800.1"", 'Misin17G152200.1"", 'Misin17G258900.1"", 'Misin16G020400.1"", 'Misin16G044500.1"", 'Misin16G063400.1"", 'Misin08G017000.1"", 'Misin08G058800.1"", 'Misin08G090900.1"", 'Misin08G246400.1"", 'Misin08G290900.1"", 'Misin01G057500.1"", 'Misin01G328400.1"", 'Misin01G441300.1"", 'MisinT509500.1"", 'MisinT235800.1"", 'Misin06G003200.1"", 'Misin06G006200.1"", 'Misin06G320400.1"", 'Misin06G393200.1"", 'Misin02G085800.1"", 'Misin02G499500.1"", 'Misin14G002700.1"", 'Misin14G038000.1"", 'Misin09G048800.1"", 'Misin11G026300.1"", 'Misin11G111000.1"", 'Misin11G186400.1"", 'Misin19G014600.1"", 'Misin03G175100.1"", 'Misin03G199500.1"", 'Misin03G308500.1"", 'Misin18G141000.1"", 'MisinT033300.1"", 'Misin12G225400.1"", 'Misin04G365300.1"", 'Misin13G050900.1"", 'Misin13G065100.1"", 'MisinT039400.1"", 'Misin07G006500.1"", 'Misin07G160800.1"", 'Misin07G202000.1"", 'Misin07G453200.1"", 'Misin07G473800.1"", 'MisinT585800.1"""
"1965","Misin06G291700.1","'Misin05G084000.1"", 'Misin05G205100.1"", 'Misin05G393400.1"", 'Misin10G081800.1"", 'Misin16G110600.1"", 'Misin16G157000.1"", 'Misin08G167900.1"", 'Misin01G078300.1"", 'Misin01G086400.1"", 'Misin01G122600.1"", 'Misin01G258700.1"", 'Misin01G331500.1"", 'Misin01G339600.1"", 'Misin01G350000.1"", 'Misin01G359300.1"", 'Misin06G189400.1"", 'Misin06G224200.1"", 'Misin02G025200.1"", 'Misin02G066600.1"", 'Misin02G079100.1"", 'Misin02G085300.1"", 'Misin02G096600.1"", 'Misin02G301000.1"", 'Misin02G339600.1"", 'Misin14G022900.1"", 'Misin14G115800.1"", 'Misin14G158300.1"", 'Misin14G169400.1"", 'Misin09G132200.1"", 'Misin09G151800.1"", 'Misin09G167500.1"", 'Misin11G122900.1"", 'Misin11G204400.1"", 'Misin11G271200.1"", 'Misin15G101800.1"", 'Misin15G115800.1"", 'Misin19G052100.1"", 'Misin03G045000.1"", 'Misin03G071200.1"", 'Misin03G086700.1"", 'Misin03G182200.1"", 'Misin03G333300.1"", 'Misin04G102500.1"", 'Misin04G302300.1"", 'Misin13G130300.1"", 'MisinT435800.1"", 'Misin07G033900.1"""
"1966","Misin06G291800.1","'Misin05G082400.1"", 'Misin05G180700.1"", 'Misin05G189200.1"", 'Misin05G192000.1"", 'Misin05G235500.1"", 'Misin05G248600.1"", 'Misin05G383400.1"", 'Misin05G405000.1"", 'Misin10G097100.1"", 'Misin17G102700.1"", 'Misin17G133600.1"", 'Misin16G121200.1"", 'Misin16G199500.1"", 'Misin16G252400.1"", 'Misin08G233000.1"", 'Misin08G325700.1"", 'Misin01G095400.1"", 'Misin01G145400.1"", 'Misin01G158500.1"", 'Misin01G202900.1"", 'Misin01G279400.1"", 'Misin01G287100.1"", 'Misin01G436700.1"", 'Misin06G043100.1"", 'Misin06G149400.1"", 'Misin06G176800.1"", 'Misin06G177000.1"", 'Misin06G204800.1"", 'Misin06G313300.1"", 'Misin06G364300.1"", 'Misin06G378000.1"", 'Misin06G404600.1"", 'Misin02G183400.1"", 'Misin14G033000.1"", 'Misin14G097100.1"", 'Misin09G086300.1"", 'Misin11G069700.1"", 'Misin11G174500.1"", 'MisinT474100.1"", 'Misin15G062200.1"", 'Misin19G149900.1"", 'Misin19G158200.1"", 'Misin19G208000.1"", 'MisinT236200.1"", 'Misin03G058800.1"", 'Misin03G087100.1"", 'Misin03G173900.1"", 'Misin03G198700.1"", 'Misin03G301800.1"", 'Misin03G320300.1"", 'Misin03G361700.1"", 'Misin18G031200.1"", 'Misin18G180500.1"", 'Misin12G278600.1"", 'Misin04G049600.1"", 'Misin04G107300.1"", 'Misin04G113800.1"", 'Misin04G343200.1"", 'Misin04G346400.1"", 'Misin13G025900.1"", 'Misin13G143400.1"", 'Misin13G160700.1"", 'MisinT265600.1"", 'MisinT482700.1"", 'Misin07G080800.1"", 'Misin07G282700.1"", 'Misin07G372400.1"", 'Misin07G390100.1"", 'Misin07G436900.1"", 'Misin07G528400.1"", 'Misin07G541200.1"""
"1967","Misin06G293300.1","'Misin05G024100.1"", 'Misin05G309900.1"", 'Misin05G341700.1"", 'Misin05G374800.1"", 'Misin05G396900.1"", 'Misin17G157100.1"", 'Misin17G163200.1"", 'Misin17G208800.1"", 'Misin16G179600.1"", 'Misin16G198000.1"", 'Misin08G161200.1"", 'Misin01G227500.1"", 'Misin01G230100.1"", 'Misin01G249600.1"", 'Misin01G388400.1"", 'Misin01G482900.1"", 'MisinT585500.1"", 'Misin06G300000.1"", 'Misin06G388100.1"", 'Misin02G101000.1"", 'Misin02G253800.1"", 'Misin02G260300.1"", 'Misin02G375000.1"", 'Misin02G503800.1"", 'Misin11G127500.1"", 'Misin11G128300.1"", 'Misin19G096400.1"", 'Misin19G101900.1"", 'Misin19G216700.1"", 'Misin18G155300.1"", 'Misin12G135400.1"", 'MisinT514500.1"", 'Misin04G387300.1"", 'Misin07G263900.1"", 'Misin07G455200.1"""
"1968","Misin06G295200.1","'Misin05G005000.1"", 'Misin05G151800.1"", 'Misin10G045500.1"", 'Misin10G067800.1"", 'Misin10G133300.1"", 'Misin17G059800.1"", 'Misin17G071600.1"", 'Misin17G088200.1"", 'Misin17G142700.1"", 'MisinT139000.1"", 'Misin16G012900.1"", 'Misin16G141200.1"", 'Misin16G164100.1"", 'MisinT516100.1"", 'MisinT493400.1"", 'MisinT406900.1"", 'Misin08G038700.1"", 'Misin08G167900.1"", 'Misin08G262000.1"", 'Misin08G265700.1"", 'Misin01G011800.1"", 'Misin01G097200.1"", 'Misin01G106100.1"", 'Misin01G177100.1"", 'Misin01G184400.1"", 'Misin01G287900.1"", 'Misin01G500900.1"", 'Misin01G506400.1"", 'MisinT063500.1"", 'Misin06G155400.1"", 'Misin06G314900.1"", 'Misin02G024700.1"", 'Misin02G065000.1"", 'Misin02G220500.1"", 'Misin02G241800.1"", 'Misin02G407800.1"", 'Misin02G441800.1"", 'Misin02G465700.1"", 'Misin09G059300.1"", 'Misin09G059400.1"", 'Misin09G059600.1"", 'Misin11G185500.1"", 'MisinT023800.1"", 'MisinT024700.1"", 'Misin15G035200.1"", 'Misin15G038600.1"", 'Misin15G076300.1"", 'MisinT338500.1"", 'Misin19G095300.1"", 'Misin19G274600.1"", 'Misin03G021300.1"", 'Misin03G026400.1"", 'Misin03G026500.1"", 'Misin03G211600.1"", 'Misin03G233000.1"", 'Misin03G299400.1"", 'Misin03G318000.1"", 'Misin18G214700.1"", 'Misin12G168800.1"", 'Misin12G179200.1"", 'Misin12G226700.1"", 'Misin04G142000.1"", 'Misin04G311400.1"", 'Misin13G004800.1"", 'Misin13G023300.1"", 'Misin13G076900.1"", 'Misin13G129700.1"", 'Misin13G184400.1"", 'MisinT154200.1"", 'Misin07G032800.1"", 'Misin07G195400.1"", 'Misin07G240500.1"", 'Misin07G389900.1"""
"1969","Misin06G296000.1","'"""
"1970","Misin06G296100.1","'MisinT214700.1"", 'Misin05G065800.1"", 'Misin05G117700.1"", 'Misin05G305800.1"", 'Misin17G165700.1"", 'Misin17G181300.1"", 'Misin17G200600.1"", 'Misin17G208900.1"", 'Misin17G267500.1"", 'Misin16G135900.1"", 'Misin16G226100.1"", 'Misin08G032800.1"", 'Misin01G089800.1"", 'Misin01G184700.1"", 'Misin06G076000.1"", 'Misin06G252100.1"", 'Misin06G320600.1"", 'Misin06G332900.1"", 'Misin02G312500.1"", 'Misin02G420800.1"", 'Misin14G016700.1"", 'Misin11G003400.1"", 'Misin15G188800.1"", 'Misin19G096200.1"", 'Misin19G157700.1"", 'Misin03G295600.1"", 'MisinT434300.1"", 'Misin07G078900.1"", 'Misin07G411700.1"", 'Misin07G465800.1"""
"1971","Misin06G297900.1","'MisinT392800.1"", 'Misin10G016600.1"", 'MisinT192900.1"", 'Misin08G066300.1"", 'Misin08G081700.1"", 'Misin01G334600.1"", 'MisinT283700.1"", 'Misin06G143700.1"", 'MisinT215300.1"", 'Misin02G215000.1"", 'Misin14G030400.1"", 'Misin14G105300.1"", 'Misin09G080000.1"", 'Misin09G185300.1"", 'Misin03G024800.1"", 'Misin03G119400.1"", 'Misin03G119500.1"", 'Misin03G126100.1"", 'Misin03G300700.1"", 'MisinT164200.1"", 'Misin12G000100.1"", 'Misin12G060000.1"", 'Misin04G032200.1"", 'Misin04G165500.1"", 'Misin07G058700.1"""
"1972","Misin06G298000.1","'Misin05G080800.1"", 'Misin05G126000.1"", 'Misin05G216300.1"", 'Misin05G238600.1"", 'Misin05G264600.1"", 'Misin05G270200.1"", 'Misin05G292900.1"", 'Misin10G044100.1"", 'Misin10G053800.1"", 'Misin17G007000.1"", 'Misin17G023600.1"", 'Misin17G023900.1"", 'Misin17G220100.1"", 'Misin16G028000.1"", 'Misin16G060200.1"", 'Misin16G205400.1"", 'Misin08G023400.1"", 'Misin08G102600.1"", 'Misin08G121800.1"", 'Misin08G139000.1"", 'Misin01G014500.1"", 'Misin01G046600.1"", 'Misin01G054300.1"", 'Misin01G183100.1"", 'Misin01G253700.1"", 'Misin01G420700.1"", 'Misin01G497400.1"", 'MisinT125500.1"", 'Misin06G191800.1"", 'Misin06G201600.1"", 'Misin06G216000.1"", 'Misin02G060700.1"", 'Misin02G136300.1"", 'Misin02G192000.1"", 'Misin02G244700.1"", 'Misin02G402300.1"", 'Misin14G069200.1"", 'Misin14G079000.1"", 'Misin14G095700.1"", 'Misin14G111800.1"", 'Misin14G155400.1"", 'Misin14G155500.1"", 'Misin09G023500.1"", 'Misin09G054200.1"", 'Misin09G131500.1"", 'Misin09G163300.1"", 'Misin11G021600.1"", 'Misin11G096500.1"", 'Misin11G147500.1"", 'Misin11G158500.1"", 'Misin11G171600.1"", 'Misin15G037400.1"", 'Misin15G186800.1"", 'Misin19G247100.1"", 'Misin19G247300.1"", 'Misin03G307900.1"", 'Misin03G313400.1"", 'Misin03G313500.1"", 'Misin18G260400.1"", 'Misin12G222300.1"", 'Misin12G250200.1"", 'Misin04G169100.1"", 'Misin04G397100.1"", 'Misin13G071900.1"", 'Misin13G108400.1"", 'Misin13G115700.1"", 'Misin13G184900.1"", 'Misin13G195900.1"", 'MisinT312500.1"", 'Misin07G110500.1"", 'Misin07G148400.1"", 'Misin07G163100.1"", 'Misin07G186000.1"", 'Misin07G263200.1"", 'Misin07G336100.1"", 'MisinT109900.1"""
"1973","Misin06G298100.1","'"""
"1974","Misin06G299300.1","'"""
"1975","Misin06G299400.1","'"""
"1976","Misin06G299700.1","'Misin05G105600.1"", 'Misin05G233000.1"", 'Misin05G331500.1"", 'MisinT361500.1"", 'Misin17G093500.1"", 'Misin17G177700.1"", 'Misin17G216200.1"", 'Misin16G046500.1"", 'Misin16G110200.1"", 'Misin16G176300.1"", 'Misin08G010600.1"", 'Misin08G015900.1"", 'Misin08G027500.1"", 'Misin08G179300.1"", 'Misin08G256700.1"", 'Misin01G082200.1"", 'Misin01G285600.1"", 'Misin01G475400.1"", 'Misin01G512000.1"", 'Misin06G063000.1"", 'Misin06G364100.1"", 'Misin06G366500.1"", 'Misin06G402500.1"", 'Misin06G413400.1"", 'Misin02G054100.1"", 'Misin02G121700.1"", 'Misin02G127800.1"", 'Misin02G252600.1"", 'Misin02G388000.1"", 'Misin14G105100.1"", 'MisinT417200.1"", 'Misin09G193400.1"", 'Misin11G013500.1"", 'Misin15G017700.1"", 'MisinT204000.1"", 'Misin19G218800.1"", 'Misin03G187800.1"", 'Misin18G041000.1"", 'Misin18G070300.1"", 'Misin18G224300.1"", 'Misin12G040900.1"", 'Misin12G041000.1"", 'Misin12G117000.1"", 'Misin04G076500.1"", 'Misin04G193900.1"", 'Misin04G207600.1"", 'Misin13G009500.1"", 'Misin13G029200.1"", 'Misin13G102100.1"", 'Misin07G024800.1"", 'Misin07G049500.1"", 'Misin07G100900.1"", 'Misin07G185000.1"", 'Misin07G450900.1"", 'MisinT503900.1"""
"1977","Misin06G300300.1","'"""
"1978","Misin06G301400.1","'MisinT226000.1"", 'MisinT151100.1"", 'Misin05G141200.1"", 'Misin05G297600.1"", 'Misin10G073600.1"", 'Misin10G151000.1"", 'Misin10G171300.1"", 'Misin17G065500.1"", 'Misin16G100400.1"", 'Misin08G066300.1"", 'Misin08G081700.1"", 'Misin08G165600.1"", 'Misin01G280800.1"", 'MisinT283700.1"", 'Misin06G093600.1"", 'Misin06G093900.1"", 'Misin06G143700.1"", 'Misin06G153400.1"", 'Misin06G169000.1"", 'Misin06G183600.1"", 'Misin06G208300.1"", 'Misin06G230200.1"", 'Misin06G264900.1"", 'Misin06G272700.1"", 'Misin06G278000.1"", 'MisinT215300.1"", 'Misin02G178500.1"", 'Misin02G215000.1"", 'Misin02G241500.1"", 'Misin02G513200.1"", 'Misin14G054800.1"", 'Misin14G062300.1"", 'Misin11G117700.1"", 'Misin11G172500.1"", 'Misin11G236100.1"", 'Misin11G247100.1"", 'Misin15G099400.1"", 'Misin15G107300.1"", 'Misin15G112200.1"", 'Misin15G114500.1"", 'Misin19G184700.1"", 'Misin19G188500.1"", 'Misin19G231900.1"", 'Misin19G259700.1"", 'Misin19G262600.1"", 'Misin19G266300.1"", 'Misin03G024800.1"", 'Misin03G079000.1"", 'Misin03G109300.1"", 'Misin03G109600.1"", 'Misin03G119400.1"", 'Misin03G119500.1"", 'Misin03G125000.1"", 'Misin03G126100.1"", 'Misin03G129600.1"", 'Misin03G132600.1"", 'Misin18G051600.1"", 'MisinT119000.1"", 'Misin12G270900.1"", 'Misin04G035300.1"", 'Misin04G099300.1"", 'Misin13G008700.1"", 'Misin13G095000.1"", 'MisinT227500.1"", 'Misin07G018000.1"", 'Misin07G189600.1"""
"1979","Misin06G301900.1","'Misin05G004600.1"", 'Misin10G125800.1"", 'Misin17G109300.1"", 'Misin16G127100.1"", 'Misin16G214500.1"", 'Misin16G248100.1"", 'Misin08G059900.1"", 'Misin08G089100.1"", 'Misin01G214600.1"", 'Misin11G068500.1"", 'Misin11G201900.1"", 'Misin03G086100.1"", 'Misin03G096200.1"", 'Misin12G080900.1"", 'Misin04G176500.1"", 'Misin07G269200.1"", 'Misin07G283000.1"""
"1980","Misin06G303200.1","'Misin05G129600.1"", 'Misin01G117500.1"", 'Misin01G398300.1"", 'Misin06G141100.1"", 'Misin02G018700.1"", 'Misin14G076200.1"", 'Misin11G114800.1"", 'Misin11G128400.1"", 'Misin11G138100.1"", 'Misin11G155000.1"", 'Misin11G257900.1"", 'MisinT497300.1"", 'Misin15G184600.1"", 'Misin19G076800.1"", 'Misin03G053500.1"", 'Misin12G139900.1"", 'Misin12G259200.1"", 'Misin04G335100.1"", 'Misin04G354800.1"", 'Misin13G105800.1"", 'MisinT550700.1"", 'Misin07G034700.1"", 'Misin07G284300.1"", 'Misin07G553100.1"""
"1981","Misin06G303300.1","'Misin05G136900.1"", 'Misin05G220800.1"", 'Misin05G332400.1"", 'Misin05G337900.1"", 'Misin10G164100.1"", 'Misin16G104700.1"", 'Misin01G135600.1"", 'Misin01G269500.1"", 'Misin01G337700.1"", 'Misin01G366900.1"", 'Misin06G131900.1"", 'Misin06G203100.1"", 'Misin06G262400.1"", 'Misin06G269700.1"", 'Misin06G274200.1"", 'Misin06G313600.1"", 'Misin02G292100.1"", 'Misin14G107600.1"", 'Misin14G127400.1"", 'MisinT186400.1"", 'Misin11G153600.1"", 'Misin15G194100.1"", 'Misin19G126100.1"", 'Misin19G234400.1"", 'Misin03G026600.1"", 'Misin03G134000.1"", 'Misin03G182700.1"", 'Misin03G208200.1"", 'Misin03G277300.1"", 'Misin03G340300.1"", 'MisinT583600.1"", 'Misin12G062300.1"", 'Misin12G084000.1"", 'Misin12G254200.1"", 'Misin12G268500.1"", 'Misin04G073600.1"", 'Misin04G108400.1"", 'Misin07G424100.1"", 'MisinT359300.1"""
"1982","Misin06G303700.1","'MisinT390600.1"", 'Misin05G260400.1"", 'Misin10G043300.1"", 'Misin16G178300.1"", 'Misin16G251600.1"", 'Misin08G241600.1"", 'Misin08G313800.1"", 'Misin01G041900.1"", 'Misin01G370400.1"", 'Misin06G111300.1"", 'Misin06G243500.1"", 'Misin06G333700.1"", 'Misin02G356500.1"", 'Misin02G485500.1"", 'Misin09G118200.1"", 'Misin09G160700.1"", 'Misin11G080100.1"", 'Misin19G003800.1"", 'Misin19G046200.1"", 'Misin19G150600.1"", 'Misin03G043200.1"", 'Misin03G181800.1"", 'Misin03G361000.1"", 'Misin18G014500.1"", 'Misin12G035100.1"", 'Misin04G062100.1"", 'Misin04G139000.1"", 'Misin04G139500.1"", 'Misin07G167900.1"", 'Misin07G231000.1"", 'Misin07G234500.1"", 'Misin07G295400.1"", 'Misin07G388400.1"", 'Misin07G391800.1"""
"1983","Misin06G304500.1","'"""
"1984","Misin06G304600.1","'Misin08G217500.1"", 'Misin01G226300.1"", 'Misin06G094300.1"", 'Misin02G001100.1"""
"1985","Misin06G304800.1","'Misin02G226500.1"""
"1986","Misin06G304900.1","'Misin05G027400.1"", 'Misin05G075600.1"", 'Misin16G008400.1"", 'Misin06G014900.1"", 'Misin06G374800.1"", 'Misin02G349400.1"", 'MisinT148200.1"", 'Misin03G255500.1"", 'Misin18G093700.1"""
"1987","Misin06G307400.1","'Misin05G209800.1"", 'Misin14G120900.1"", 'Misin15G140600.1"", 'Misin15G185200.1"", 'Misin19G249100.1"", 'Misin18G271800.1"", 'MisinT033200.1"", 'Misin04G174500.1"", 'Misin13G121600.1"", 'Misin07G014300.1"""
"1988","Misin06G308400.1","'MisinT175700.1"", 'Misin05G134900.1"", 'Misin05G314300.1"", 'Misin17G047800.1"", 'Misin17G048000.1"", 'Misin16G040800.1"", 'Misin16G105500.1"", 'Misin08G095600.1"", 'Misin01G013100.1"", 'Misin01G060400.1"", 'Misin01G067100.1"", 'Misin01G167800.1"", 'Misin01G300800.1"", 'Misin01G367500.1"", 'Misin01G418400.1"", 'Misin06G127200.1"", 'Misin06G397900.1"", 'Misin02G290200.1"", 'Misin02G377100.1"", 'Misin14G116200.1"", 'Misin19G113500.1"", 'Misin19G151400.1"", 'Misin03G001600.1"", 'Misin03G175300.1"", 'Misin18G084400.1"", 'Misin12G067900.1"", 'Misin12G194200.1"", 'Misin12G266200.1"", 'Misin04G051000.1"", 'Misin13G050100.1"", 'Misin13G128100.1"", 'Misin07G031500.1"", 'Misin07G126700.1"", 'Misin07G230900.1"", 'Misin07G382600.1"""
"1989","Misin06G311500.1","'"""
